Stage,Species Name,Design Intent / Archetype,Pre-Evolution(s),Post-Evolution Candidate(s),Age Trigger,Is Dead?,Happiness Min,Happiness Max,Intelligence Min,Intelligence Max,Strength Min,Strength Max,Care Mistakes Max,Other Requirement Notes,Notes / Sprite Reference
Baby,Blop,"Squishy jellyfish baby that loves water.","Squid Egg","Bullblop","Teen age (placeholder)",,,,,,,,,"Neutral stats placeholder until requirements exist.","spritesheet: assets/creatures/blop.png | egg: assets/creatures/eggs/squid_egg.png"
Baby,Ghos,"Glitchy ghost-in-the-machine.","Robo Egg","Inspectre","Teen age",TRUE,0,,0,,0,,0,"See resources/creature/data/babies/ghos.tres for finalized script refs.","spritesheet: assets/creatures/ghos.png | egg: assets/creatures/eggs/robo_egg.png"
Baby,Sprit,"Cheerful lantern sprite.","Jeweled Egg","Punk'n","Teen age (balanced care)",,,,,,,,,"Needs balanced care goals; define concrete stats later.","spritesheet: assets/creatures/sprit.png | egg: assets/creatures/eggs/jeweled_egg.png"
Baby,Squip,"Metallic cephalopod gremlin.","Metal Egg","Squeemo","Teen age (placeholder)",,,,,,,,,"Neutral stats placeholder until requirements exist.","spritesheet: assets/creatures/squip.png | egg: assets/creatures/eggs/metal_egg.png"
Teen,Bullblop,"Armored brawler focused on strength.","Blop","(Adults TBD)","Adult age (future)",,,,,,,,,"Needs adult requirements; none defined in resources/creature/data/teens/bullblop.tres.","spritesheet: assets/creatures/bullblop.png"
Teen,Inspectre,"Ghost detective unlocked from neglect route.","Ghos","(Adults TBD)","Adult age",TRUE,0,,0,,0,,0,"See resources/creature/data/teens/inspectre.tres for scripts.","spritesheet: assets/creatures/inspectre.png"
Teen,Punk'n,"Spiky lantern rebel.","Sprit","(Adults TBD)","Adult age (balanced care)",,,,,,,,,"Requirements not yet implemented; capture stat goals when adult branches exist.","spritesheet: assets/creatures/punk'n.png"
Teen,Squeemo,"Void slime mimic.","Squip","(Adults TBD)","Adult age (future)",,,,,,,,,"Requirements not yet implemented.","spritesheet: assets/creatures/squeemo.png"
Baby,Nibblit,"Mischievous vine larva that chews on power cords.","Chlorophyll Egg","Thornet","Teen age (high happiness)",,60,,20,,10,,1,"Keep hunger meter above half during the final pre-teen day.","spritesheet: assets/creatures/nibblit.png | egg: assets/creatures/eggs/chlorophyll_egg.png"
Teen,Thornet,"Brambling scout that lashes foes with thorny cords.","Nibblit","Bramblord; Bloomseraph","Adult age (balanced care)",,50,,30,,40,,2,"Rewarded when built-in garden buildable is active at least once.","spritesheet: assets/creatures/thornet.png"
Adult,Bramblord,"Heavy vine knight that protects communal planters.","Thornet","(Final form)","Adult age + Strength focus",,40,,30,,70,,1,"Strength must exceed 70 and care mistakes stay under 1.","spritesheet: assets/creatures/bramblord.png"
Adult,Bloomseraph,"Graceful bloom spirit that boosts happiness auras.","Thornet","(Final form)","Adult age + Happiness focus",,80,,60,,30,,3,"Keep three or more happiness buildables nearby for final 12 hours.","spritesheet: assets/creatures/bloomseraph.png"
Baby,Emberpup,"Excitable coal hound that loves heaters.","Volcanic Egg","Scorchhound","Teen age (high warmth)",,40,,20,,20,,2,"Must spend >8 hours near a heat buildable.","spritesheet: assets/creatures/emberpup.png | egg: assets/creatures/eggs/volcanic_egg.png"
Teen,Scorchhound,"Charred guard dog with twin furnace cores.","Emberpup","Cinderdrake; Glasshowl","Adult age (heat or neglect split)",,30,,20,,50,,3,"Neglect route unlocked if happiness drops below 20 before adult timer.","spritesheet: assets/creatures/scorchhound.png"
Adult,Cinderdrake,"Molten wyvern evolved from well-cared Scorchhound.","Scorchhound","(Final form)","Adult age + Strength focus",,20,,20,,80,,2,"Requires at least 2 active heater buildables and <3 care mistakes.","spritesheet: assets/creatures/cinderdrake.png"
Adult,Glasshowl,"Volcanic glass banshee born from neglected Scorchhound.","Scorchhound","(Final form)","Adult age + Death flag",TRUE,0,,50,,30,,0,"Trigger by letting Scorchhound die once; revived via ghost core item.","spritesheet: assets/creatures/glasshowl.png"
Baby,Glimm,"Prismatic wisp fascinated with screens.","Holo Egg","Prismscout","Teen age (high intelligence)",,30,,70,,10,,1,"Spend >6 hours near arcade buildable to finish crystalizing.","spritesheet: assets/creatures/glimm.png | egg: assets/creatures/eggs/holo_egg.png"
Teen,Prismscout,"Holographic ranger that maps digital spaces.","Glimm","Luminarch; Nullsir","Adult age (choice driven)",,20,,80,,40,,2,"Pick daytime or nighttime training just before the adult timer.","spritesheet: assets/creatures/prismscout.png"
Adult,Luminarch,"Radiant tactician that buffs allied stats.","Prismscout","(Final form)","Adult age + Day training",,60,,90,,40,,1,"Complete a daytime training session within final hour.","spritesheet: assets/creatures/luminarch.png"
Adult,Nullsir,"Glitched emissary that phases through panels.","Prismscout","(Final form)","Adult age + Night training",,10,,90,,60,,4,"Complete a nighttime training session within final hour; tolerate up to 4 care mistakes.","spritesheet: assets/creatures/nullsir.png"
